"table_name","column_name","data_type","character_maximum_length","is_nullable"
"cat_datos_maestros","id","integer",NULL,"NO"
"cat_datos_maestros","str_tipo","character varying",50,"NO"
"cat_datos_maestros","str_nombre","character varying",50,"NO"
"cat_datos_maestros","str_descripcion","text",NULL,"NO"
"cat_datos_maestros","bol_activo","boolean",NULL,"NO"
"cat_datos_maestros","created_at","timestamp with time zone",NULL,"NO"
"cat_datos_maestros","updated_at","timestamp with time zone",NULL,"NO"
"cat_departamentos","id","integer",NULL,"NO"
"cat_departamentos","str_nombre","character varying",100,"NO"
"cat_departamentos","str_descripcion","character varying",255,"YES"
"cat_departamentos","created_at","timestamp with time zone",NULL,"NO"
"cat_departamentos","updated_at","timestamp with time zone",NULL,"NO"
"cat_opciones","id","integer",NULL,"NO"
"cat_opciones","str_nombre","text",NULL,"NO"
"cat_opciones","bol_eliminado","boolean",NULL,"NO"
"cat_opciones","fecha_creacion","time with time zone",NULL,"NO"
"cat_roles","id","integer",NULL,"NO"
"cat_roles","str_nombre","character varying",50,"NO"
"cat_roles","str_descripcion","character varying",255,"YES"
"cat_roles","created_at","timestamp with time zone",NULL,"NO"
"cat_roles","updated_at","timestamp with time zone",NULL,"NO"
"cat_sistemas","id","integer",NULL,"NO"
"cat_sistemas","str_sistema","character varying",50,"NO"
"cat_sistemas","str_descripcion","text",NULL,"YES"
"cat_sistemas","bol_activo","boolean",NULL,"NO"
"cat_sistemas","created_at","timestamp with time zone",NULL,"NO"
"cat_sistemas","updated_at","timestamp with time zone",NULL,"NO"
"tbl_auth_tokens","id","integer",NULL,"NO"
"tbl_auth_tokens","user_id","integer",NULL,"NO"
"tbl_auth_tokens","token","character varying",255,"NO"
"tbl_auth_tokens","created_at","timestamp with time zone",NULL,"NO"
"tbl_auth_tokens","expires_at","timestamp with time zone",NULL,"NO"
"tbl_auth_tokens","used","boolean",NULL,"NO"
"tbl_auth_tokens","str_device_id","character varying",255,"YES"
"tbl_auth_tokens","str_device_name","character varying",255,"YES"
"tbl_roles_sistemas","id","integer",NULL,"NO"
"tbl_roles_sistemas","rol_id","integer",NULL,"NO"
"tbl_roles_sistemas","sistema_id","integer",NULL,"NO"
"tbl_roles_sistemas","created_at","timestamp with time zone",NULL,"NO"
"tbl_roles_sistemas","updated_at","timestamp with time zone",NULL,"NO"
"tbl_roles_sistemas","bol_activo","boolean",NULL,"NO"
"tbl_roles_sistemas_opciones","id","integer",NULL,"NO"
"tbl_roles_sistemas_opciones","roles_sistemas_id","integer",NULL,"NO"
